FLIGHT_ID,P64: Duration of Takeoff (Seconds),HEAD_WIND,MSL_ALT,MACH_NUMBER_START_EVENT,DRAG,LIFT,FUEL_QUANTITY,P64  Wind Speed at Start of Event (library) (knots),P64  Wind Direction (true) at Start of Event (library) (degrees),P64  Mean Longitudinal Acceleration over succeeding interval from Start of Event (g's),P64  Mean Vertical (body normal) Acceleration over succeeding interval from Start of Event (g's),P64  Longitudinal Acceleration at Start of Event (g's),P64  Vertical (body normal) Acceleration at Start of Event (library) (g's),P64  Mean Normal-Load Factor over succeeding interval from Start of Event (g's),P64  Drag (expected clean configuration) at Start of Event (lbs),P64  Lift Expected at Start of Event (lbs),P64  Gross Weight at Start of Event (library) (kg),P64  Corrected MSL Altitude at Start of Event (library) (feet),P64  Pressure Altitude (above MSL) at Start of Event (library) (feet),P64  GPS Altitude (above MSL) at Start of Event (library) (feet),P64  Density Altitude at Start of Event (ft),P64  Geometric Altitude (above MSL) at Start of Event (library) (feet),P64  Radio Altitude at Start of Event (ft),P64  Height AGL at Start of Event (feet),P64  Height AGL at Start of Event (library) (feet),P64  Height Above Takeoff (best estimate library) at Start of Event (feet),P64  Height AFE at Start of Event (library) (feet),P64  Flap Position at Start of Event (library) (deg+   TED),P64  Slat Position at Start of Event (library) (deg+   LED),P64  Slats Retracted (boolean) at Start of Event (library) (0   retracted),P64  Spoiler Position Average (all spoilers; +  TEU) at Start of Event (degrees),P64  Spoiler Position Average (left; +  TEU) at Start of Event (deg+ TEU),P64  Spoiler Position Average (right; +  TEU) at Start of Event (deg+ TEU),P64  Elevator Position at Start of Event (deg+ TEU),P64  Air Temperature (outside) at Start of Event (library) (Deg Celsius),P64  Air Temperature (total best available) at Start of Event (library) (Deg Celsius),DISTANCE_FROM_RUNWAY_END,RUNWAY_CALCULATED_GRADIENT,P64: Pressure Altitude at the Start of Takeoff (ft),P64: Corrected Altitude at Liftoff (feet),P64: Best Available MSL Altitude at Liftoff (feet),P64: GPS Altitude at Liftoff (ft),P64: V1 for Takeoff Configuration (knots),P64: V2 for Takeoff Configuration (knots),P64: Airspeed (calibrated) at Start of Rotation (knots),P64: Airspeed (calibrated) at Liftoff (knots),P64: VR for Takeoff Configuration (knots),P64: Vmu for Takeoff Configuration (knots),P64: True Airspeed at Liftoff (knots).1,P64: Pitch Attitude at Liftoff (deg),HEAD_WIND_KNOTS_TWENTY_POINT_LAGGING_AVERAGE,HEAD_WIND_KNOTS_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_std_during_stated_takeoff_ground_roll,TAKEOFF_GROUND_ROLL_DISTANCE_STATED_(FEET),RUNWAY_CALCULATED_GRADIENT_degraded,GROSS_WEIGHT_KILOGRAMS_rollstart,FLAP_POSITION_DEGREES,MSL_ALT_degraded,AIR_TEMP_OUTSIDE_CELSIUS,AIRPORT,RUNWAY,STAGE,AIRCRAFT_TYPE,PREDICTED_N1,ERROR,ABSOLUTE_ERROR,N1
1048749,42.125,-5.692517,142.625,0.237352,25771.818359,451416.6875,47246.183594,7.90625,358.505768,0.267969,0.083008,0.273438,0.095703,1.074653,25771.818359,451416.6875,203717.421875,122.101974,203.0,142.625,1487.522705,108.784248,5.5,5.496526,5.496526,0.9198,0.9198,14.25,20.75,1.0,0.149414,0.140625,0.158203,8.129884,25.75,29.25,6609.92438255798,-0.0019791666666666,295.0,121.182175,121.182175,133.625,144.800003,150.0,151.3125,159.375,149.8125,149.8125,162.8125,8.173827,4.04043795,3.1151981666666666,14.25,0.0,6188.156200013109,-0.0,203945.216125,14.25,100.0,25.75,LSZH,24L,5,A330-2_4PW067,66.59769,25.11855317770555,22.339813232421875,88.9375
1125853,26.875,0.349866,1425.5,0.228904,9703.204102,144625.765625,4638.65918,5.499648,2.021484,0.360742,0.195313,0.349609,0.148438,1.238281,9703.204102,144625.765625,60382.21875,1423.921509,1225.0,1425.5,1650.309814,1404.410278,2.75,2.75,2.747963,2.334528,2.334528,14.911794,22.004751,1.0,0.0,0.0,0.0,9.00879,16.25,19.25,4101.90608225017,-0.0032065409446635,1284.333374,1421.587036,1421.587036,1416.75,128.800003,134.0,136.375,144.625,134.875,134.875,145.5,9.228514,2.40271135,1.766828185185185,14.911794,0.0,3689.54250351449,-0.0,60439.617073,14.911794,1400.0,16.25,LSGG,28,1,A320-2_3CM021,99.33664,11.107041626616567,9.930389404296875,89.40625
1025338,32.75,-5.331438,1419.75,0.243784,10144.038086,158072.515625,7250.824707,6.09336,66.708969,0.320703,0.235352,0.313477,0.195313,1.248698,10144.038086,158072.515625,64809.28125,1423.963013,952.0,1419.75,782.377625,1410.446533,10.25,10.25,13.13304,-1.5e-05,-1.5e-05,14.919977,22.001198,1.0,0.0,0.0,0.0,7.514649,11.75,15.25,4971.93013453843,-0.0032065409446635,1010.0,1423.963013,1423.963013,1419.75,132.800003,138.0,141.75,160.375,140.25,140.25,162.0,11.162107,-2.76232185,-1.5125757272727274,14.919977,0.0,4700.098282281879,-0.0,64879.105537,14.919977,1400.0,11.75,LSGG,28,1,A320-2_3CM021,100.31052,11.766592041695683,10.560516357421875,89.75
1117364,54.875,-8.901073,1424.0,0.242544,31701.449219,537907.3125,89543.976563,9.3125,317.636627,0.245312,0.026367,0.246094,0.054688,1.011719,31701.449219,537907.3125,258266.28125,1401.09375,1121.0,1424.0,1870.567383,1386.658569,-0.375,0.0,0.0,2.327859,2.327859,22.25,23.75,1.0,0.153809,0.161133,0.146484,12.34863,19.25,22.75,8956.46239422756,-0.0005354642062772,1180.166626,1398.765869,1398.765869,1420.25,135.0,155.0,148.8125,158.6875,145.0,158.6875,162.5625,9.580077,-3.5705981,-1.2633946,22.25,0.0,8607.352439696726,-0.0,258569.01532,22.25,1400.0,19.25,KSFO,16,7,A340-3_2CM015,92.822296,2.3164199314929794,2.2011418574218737,95.023438
1108307,54.375,-14.265216,1429.375,0.236344,30634.458984,477117.09375,59321.074219,15.09375,354.462799,0.230469,0.069336,0.230469,0.0625,1.053385,30634.458984,477117.09375,227318.59375,1400.021606,1568.0,1429.375,2188.692871,1388.223999,2.125,2.123682,2.123682,0.761902,0.761902,22.25,23.75,1.0,0.131836,0.102539,0.161133,11.777341,17.25,20.75,8889.76015651924,-0.0005354642062772,1605.666626,1399.259644,1399.259644,1423.875,131.0,146.0,140.0,153.0625,138.5,149.998535,157.8125,8.876952,-8.8468942,-4.867802962962963,22.25,0.0,8566.781711614563,-0.0,227579.355621,22.25,1400.0,17.25,KBOS,16,5,A340-3_2CM015,90.939255,0.20383565350651578,0.1857452392578125,91.125
1127376,37.125,-10.03262,169.875,0.213097,24881.771484,379839.40625,28884.763672,10.0625,297.158142,0.301953,0.110352,0.294922,0.101563,1.12283,24881.771484,379839.40625,174252.0625,135.127853,134.0,169.875,917.557434,122.352295,3.75,3.745284,3.745284,7.893353,7.893353,14.25,20.75,1.0,0.140625,0.123047,0.158203,8.525392,21.5,24.25,5924.07344926807,0.0027424094025465,189.5,127.234497,127.234497,158.875,128.800003,134.0,135.0,142.3125,133.5,133.629395,144.25,8.129882,-2.6670436,-1.1302344054054054,14.25,0.0,5001.769331258068,0.0,174431.995728,14.25,200.0,21.5,LSZH,12,4,A330-2_4PW067,65.536674,24.111685037656052,20.82270050048828,86.359375
1021561,29.875,-2.391347,1383.25,0.22568,9035.005859,129023.734375,6664.90625,3.093552,135.703094,0.298242,0.144531,0.289063,0.105469,1.201389,9035.005859,129023.734375,58495.273438,1421.926025,950.0,1383.25,328.823914,1401.634155,-0.25,-0.25,0.002147,1.264835,1.264835,14.911794,22.0012,1.0,0.0,0.0,0.0,7.866212,8.0,10.75,4223.49799224677,-0.0032065409446635,1016.833313,1420.661133,1420.661133,1383.0,130.800003,136.0,134.25,147.125,132.75,132.75,144.5,6.855467,0.8160473,0.6237431,14.911794000000002,0.0,3970.2789934669822,-0.0,58551.50499,14.911794,1400.0,8.0,LSGG,28,1,A320-2_3CM021,95.60435,12.974117848158235,10.979347229003906,84.625
1153599,50.5,-4.736256,16.125,0.232872,34309.023438,516002.03125,82505.273438,5.40625,89.121071,0.240234,0.102539,0.234375,0.087891,1.059462,34309.023438,516002.03125,246166.578125,20.789141,-265.0,16.125,-1118.39624,9.133573,0.0,2.00143,2.00143,-0.027805,-0.027805,22.25,23.75,1.0,0.13916,0.131836,0.146484,14.633785,8.5,11.5,7544.82036935138,-0.0006318449873631,-213.166672,20.816946,20.816946,10.625,140.0,153.0,144.5,156.375,146.5,155.882813,153.375,9.27246,1.874912,2.2207796,22.25,0.0,7183.530318727509,-0.0,246422.180008,22.25,0.0,8.5,LSZH,28R,7,A340-3_2CM015,90.218094,0.749572636756238,0.6712188720703125,89.546875
1025618,30.875,-0.746943,1405.25,0.239568,9171.904297,134397.140625,6452.665527,3.843504,17.314449,0.31582,0.105469,0.308594,0.050781,1.19401,9171.904297,134397.140625,61398.265625,1424.346313,1404.0,1405.25,1311.305176,1399.419067,-0.375,-0.375,0.0,5.566003,5.566003,14.911794,22.0012,1.0,0.0,0.0,0.0,7.119141,11.5,15.0,4642.37475518907,-0.0032065409446635,1476.0,1418.780273,1418.780273,1404.75,132.800003,138.0,144.0,156.625,142.5,142.5,159.5,5.976561,0.2464825,0.1831159032258064,14.912057967741935,0.0014697101864847,4353.789565552768,-0.0,61464.896072,14.911794,1400.0,11.5,EGLL,28,1,A320-2_3CM021,101.47716,13.027116010050472,11.695907592773438,89.78125
1104067,49.0,-0.753259,153.875,0.236096,33706.929688,529417.75,81815.914063,0.875,52.382801,0.243359,0.053711,0.234375,0.03125,1.022569,33706.929688,529417.75,254674.46875,122.320488,105.0,153.875,328.840332,108.711823,-0.625,0.0,0.0,0.0,0.0,22.25,23.75,1.0,0.197754,0.19043,0.205078,12.041013,16.75,20.0,7477.43968551941,-0.0002916869227029,160.5,122.320488,122.320488,153.875,136.0,154.0,149.125,158.25,145.0,157.964767,159.25,9.27246,6.4368337,6.105601734693877,22.25,0.0,7040.866845773152,-0.0,254945.360229,22.25,200.0,16.75,LSZH,24L,7,A340-3_2CM015,94.38028,0.6136063700948786,0.5755915410156263,93.804688
