FLIGHT_ID,P64: Duration of Takeoff (Seconds),HEAD_WIND,MSL_ALT,MACH_NUMBER_START_EVENT,DRAG,LIFT,FUEL_QUANTITY,FUELFLOW_START_EVENT,THRUST_START_EVENT,P64  Wind Speed at Start of Event (library) (knots),P64  Wind Direction (true) at Start of Event (library) (degrees),P64  Mean Longitudinal Acceleration over succeeding interval from Start of Event (g's),P64  Mean Vertical (body normal) Acceleration over succeeding interval from Start of Event (g's),P64  Longitudinal Acceleration at Start of Event (g's),P64  Vertical (body normal) Acceleration at Start of Event (library) (g's),P64  Mean Normal-Load Factor over succeeding interval from Start of Event (g's),P64  Drag (expected clean configuration) at Start of Event (lbs),P64  Lift Expected at Start of Event (lbs),P64  Gross Weight at Start of Event (library) (kg),P64  Corrected MSL Altitude at Start of Event (library) (feet),P64  Pressure Altitude (above MSL) at Start of Event (library) (feet),P64  GPS Altitude (above MSL) at Start of Event (library) (feet),P64  Density Altitude at Start of Event (ft),P64  Geometric Altitude (above MSL) at Start of Event (library) (feet),P64  Radio Altitude at Start of Event (ft),P64  Height AGL at Start of Event (feet),P64  Height AGL at Start of Event (library) (feet),P64  Height Above Takeoff (best estimate library) at Start of Event (feet),P64  Height AFE at Start of Event (library) (feet),P64  Flap Position at Start of Event (library) (deg+   TED),P64  Slat Position at Start of Event (library) (deg+   LED),P64  Slats Retracted (boolean) at Start of Event (library) (0   retracted),P64  Spoiler Position Average (all spoilers; +  TEU) at Start of Event (degrees),P64  Spoiler Position Average (left; +  TEU) at Start of Event (deg+ TEU),P64  Spoiler Position Average (right; +  TEU) at Start of Event (deg+ TEU),P64  Elevator Position at Start of Event (deg+ TEU),DISTANCE_FROM_RUNWAY_END,AIRPORT,AIRCRAFT_TYPE,RUNWAY,STAGE,PREDICTED_N1,ERROR,N1
1133628,36.0,-4.807821,172.125,0.209633,23280.23438,366406.25,27941.29102,18873.06836,372262.5625,6.0625,83.32029,0.308203,0.083984,0.294922,0.052734,1.098958,23280.23438,366406.25,180711.2031,136.463211,-8.0,172.125,2011.498047,118.965508,-0.875,0.249858,0.249858,-4e-06,-4e-06,14.25,20.75,1.0,0.131836,0.123047,0.140625,9.580079,4527.574653,LSZH,A330,30,4,87.691216,0.004237223249287241,87.6875
1124495,35.5,-3.384252,90.0,0.228656,10771.08496,161151.25,6227.723145,6840.024414,140533.6875,8.968176,157.851517,0.31582,0.212891,0.318359,0.191406,1.187934,10771.08496,161151.25,63067.48828,97.458611,105.0,90.0,151.84935,83.327477,7.875,7.875,7.868362,3.55423,3.55423,10.553334,18.001627,1.0,0.0,0.0,0.0,8.833009,5359.126949,LSZH,A319/20/21,27R,1,75.858734,9.388596782848078,83.71875
1149465,63.5,-6.146337,5561.75,0.27032,35957.89063,563378.25,78623.09375,18629.94336,422486.7188,6.15625,198.456985,0.250391,0.074219,0.240234,0.052734,1.072483,35957.89063,563378.25,253821.8594,5533.574219,5257.0,5561.75,6400.573242,5521.050781,2.375,6.392702,6.392702,0.069729,0.069729,22.25,23.75,1.0,0.124512,0.146484,0.102539,12.568357,11288.66646,LSZH,A340,03L,7,97.59187,0.046129790365209034,97.546875
1112028,54.25,1.062598,155.625,0.242792,32391.44141,562797.5,82868.09375,19555.27148,455779.1875,2.09375,322.734283,0.235156,0.016602,0.240234,0.027344,0.982639,32391.44141,562797.5,261785.5469,121.723473,113.0,155.625,250.357056,112.927261,2.375,2.373081,2.373081,3.14746,3.14746,22.25,23.75,1.0,0.117188,0.131836,0.102539,12.480466,8744.340862,LSZH,A340,25R,7,91.60949,1.1380609968311342,92.664063
1036731,55.375,-2.538285,1400.375,0.255688,34988.80859,571420.3125,97997.6875,21086.59766,500340.5313,3.125,118.652313,0.229687,0.048828,0.226563,0.029297,1.034288,34988.80859,571420.3125,271055.3438,1399.986938,1631.0,1400.375,1203.110596,1390.464111,1.5,1.499112,1.499112,0.372808,0.372808,22.25,23.75,1.0,0.197754,0.205078,0.19043,12.744138,8670.674047,KLAX,A340,34,7,97.01765,0.5608448028468661,96.476563
1144186,52.5,-2.49441,153.125,0.235848,35754.09375,522763.5313,75357.71875,17637.48242,415027.5,3.0,48.603504,0.240625,0.052734,0.242188,0.082031,1.000434,35754.09375,522763.5313,236715.375,122.337753,49.0,153.125,200.886444,111.649178,0.0,0.0,0.0,1.321349,1.321349,22.25,23.75,1.0,0.336914,0.161133,0.512695,9.667966,7952.66122,LSZH,A340,25R,7,89.33923,0.4164196961714085,88.96875
1116243,55.0,-7.983663,1426.25,0.240808,32399.32813,536516.75,85262.70313,19769.36719,446942.4063,8.03125,328.798737,0.252344,0.076172,0.255859,0.103516,1.0,32399.32813,536516.75,256379.6719,1401.10437,1204.0,1426.25,1856.996094,1386.493896,-0.875,0.0,0.0,-8e-06,-8e-06,22.25,23.75,1.0,0.461426,0.117188,0.805664,13.095699,8842.422951,KMIA,A340,16,6,92.32169,2.3131628065394363,94.507813
1142485,38.625,-1.992089,90.0,0.222208,18489.19336,358311.7813,19776.63281,15748.72754,330425.9063,0.5,90.0,0.279279,0.081049,0.275373,0.050778,1.07415,18489.19336,358311.7813,161678.5,49.305466,49.0,90.0,1270.653442,37.532604,1.875,1.873769,1.873769,1.253293,1.253293,14.25,20.75,1.0,0.246095,0.175782,0.140626,6.372097,5674.219579,OMDB,A330,26,1,79.62751,0.5755011748815868,79.171875
1041914,52.25,-12.211793,1415.375,0.23808,36634.22656,534388.625,78623.09375,18976.48828,468163.8125,12.21875,337.412018,0.28125,0.03418,0.265625,-0.033203,1.059462,36634.22656,534388.625,249395.5781,1399.462646,1215.0,1415.375,778.164001,1385.959839,-0.625,0.374777,0.374777,0.414439,0.414439,22.25,23.75,1.0,0.498047,0.205078,0.791016,9.228514,8294.71641,KMIA,A340,16,6,90.24701,1.9387335526315788,92.03125
1026491,30.375,-5.262406,1410.25,0.228408,9985.232422,146574.9688,7134.730957,6952.512695,151277.9844,4.780944,108.457001,0.327148,0.274414,0.316406,0.263672,1.318142,9985.232422,146574.9688,57769.52734,1432.914673,1392.0,1410.25,481.339325,1415.334106,13.5,13.5,13.493783,15.62101,15.62101,14.919977,22.001198,1.0,0.010986,0.021973,0.0,8.437501,4641.579357,LEMD,A319/20/21,28,2,81.245705,4.346484590576711,84.9375
1139202,40.125,-13.402503,1421.75,0.232897,26893.17188,401241.1875,27142.96875,18285.21094,430098.1875,13.53125,129.199188,0.277344,0.112305,0.277344,0.085938,1.107639,26893.17188,401241.1875,184049.6563,1420.297729,1662.0,1421.75,1301.645264,1406.596558,5.0,4.99653,4.99653,1.747879,1.747879,14.25,20.75,1.0,0.131836,0.140625,0.123047,9.316407,6142.794352,LLBG,A330,32,4,87.61916,1.2024267252075438,86.578125
1124518,29.5,-8.296977,1405.75,0.225184,10924.28516,162798.0781,7887.533203,8360.432617,161854.6875,8.374464,88.242165,0.397266,0.264648,0.392578,0.220703,1.3125,10924.28516,162798.0781,65535.03125,1431.592041,1503.0,1405.75,1817.275635,1405.007446,3.0,3.0,3.141772,13.620743,13.620743,14.911794,22.0012,1.0,0.0,0.0,0.0,10.063478,4578.209085,EGLL,A319/20/21,28,1,85.128975,6.994633073894674,91.53125
1153898,52.125,-6.391823,1419.25,0.24056,36617.93359,543363.5,75684.25781,18568.25391,458065.9063,6.78125,315.26358,0.246094,0.091797,0.240234,0.056641,1.013889,36617.93359,543363.5,246855.9063,1402.990601,1636.0,1419.25,784.516052,1388.290771,0.75,0.749357,0.749357,3.714904,3.714904,22.25,23.75,1.0,0.175781,0.175781,0.175781,11.293942,8229.493559,KMIA,A340,16,6,91.48805,0.029645845272288553,91.460938
1128534,29.375,-6.656157,1389.75,0.22568,10271.05176,153712.2813,6421.826172,7649.215332,159469.7813,6.71832,37.880848,0.350977,0.194336,0.359375,0.181641,1.221354,10271.05176,153712.2813,61615.99219,1396.37915,1246.0,1389.75,1264.547363,1384.645752,3.5,3.5,3.497071,3.484854,3.484854,14.90361,22.0012,1.0,0.0,0.0,0.0,8.173829,4645.700864,LEBL,A319/20/21,23,1,82.148315,6.881116055614594,88.21875
1150341,54.875,-11.738756,1415.375,0.24428,35421.86328,533922.0625,91974.875,20021.56445,493356.0625,12.25,318.07608,0.241797,0.033203,0.234375,0.007813,0.952691,35421.86328,533922.0625,265849.0,1398.096558,1248.0,1415.375,668.078064,1385.642822,-0.625,0.000318,0.000318,-0.284207,-0.284207,22.25,23.75,1.0,0.893555,0.175781,1.611328,12.304685,8774.058827,KSFO,A340,16,7,94.31388,0.4931028864779097,94.78125
1025543,45.25,-3.689025,30.5,0.246264,25122.74414,499714.25,44143.62109,19722.19531,401900.3438,4.0,144.140625,0.301934,0.139639,0.302715,0.128898,1.103228,25122.74414,499714.25,213043.3281,42.378914,97.0,30.5,1215.812866,25.845762,4.625,4.620877,4.620877,6.940993,6.940993,14.25,20.75,1.0,0.254884,0.175782,0.158204,8.129917,8114.464187,LSZH,A330,30R,5,85.59288,0.7345409330176536,84.96875
1142222,42.5,1.908914,61.625,0.25296,25577.60156,481285.25,47863.07813,18677.11914,426982.5938,2.0,227.8125,0.259749,0.131828,0.255843,0.095697,1.050714,25577.60156,481285.25,213460.625,28.374294,145.0,61.625,-457.372711,14.208749,3.0,2.997044,2.997044,5.128374,5.128374,14.25,20.75,1.0,0.254884,0.175782,0.158204,8.481482,7520.500448,LSZH,A330,22R,5,82.35969,0.3621481251190023,82.0625
1139007,41.625,8.47501,47.875,0.252216,26779.32422,509705.4375,48498.10938,19134.33984,425184.9688,8.5,214.804688,0.275373,0.128898,0.27342,0.121086,1.110172,26779.32422,509705.4375,217325.2344,26.344378,35.0,47.875,-412.447784,14.394322,1.875,1.873747,1.873747,1.414452,1.414452,14.25,20.75,1.0,0.254884,0.175782,0.158204,8.305699,6496.497697,LSZH,A330,22R,5,82.90139,0.48653342507102276,82.5
